timestamp,accX,accY,accZ
0,7.38,-0.68,6.43
91,7.36,-0.64,6.65
95,7.61,-0.70,6.93
100,7.65,-0.69,6.58
105,7.65,-0.72,6.47
109,7.66,-0.60,6.83
113,7.52,-0.61,6.76
118,7.31,-0.53,6.87
123,7.49,-0.57,6.57
127,7.46,-0.53,6.50
132,7.41,-0.60,6.49
137,7.43,-0.51,6.50
142,7.35,-0.49,6.59
146,7.24,-0.52,6.68
151,7.31,-0.47,6.87
155,7.36,-0.42,6.67
160,7.25,-0.41,6.50
164,7.23,-0.30,6.66
169,7.52,-0.33,6.42
174,7.40,-0.35,6.26
178,7.42,-0.43,6.08
183,7.30,-0.46,6.26
188,7.26,-0.57,5.86
193,7.23,-0.34,6.35
196,7.39,-0.51,6.16
201,7.47,-0.45,6.27
206,7.27,-0.38,6.51
211,7.52,-0.44,6.40
215,7.44,-0.33,6.47
220,7.16,-0.39,6.48
225,7.17,-0.38,6.18
229,7.25,-0.21,6.16
234,7.35,-0.30,5.95
238,7.30,-0.40,5.93
243,7.14,-0.39,6.16
247,7.21,-0.34,6.27
252,7.13,-0.32,6.45
257,7.27,-0.36,6.26
262,7.33,-0.35,6.04
266,7.17,-0.39,6.37
271,7.12,-0.34,6.28
276,7.21,-0.32,6.48
279,7.44,-0.28,6.19
284,7.29,-0.38,6.10
289,7.30,-0.23,6.56
294,7.17,-0.35,6.19
298,7.26,-0.50,6.30
303,7.47,-0.35,6.32
308,7.32,-0.36,6.26
313,7.40,-0.33,6.13
317,7.36,-0.42,6.08
321,7.39,-0.39,6.06
326,7.26,-0.31,6.26
330,7.20,-0.34,6.06
335,7.17,-0.38,6.22
340,7.37,-0.45,5.94
345,7.18,-0.39,6.19
349,7.35,-0.30,6.28
354,7.35,-0.34,6.29
359,7.37,-0.53,6.45
363,7.34,-0.67,6.44
367,7.40,-0.54,6.57
372,7.46,-0.49,6.73
377,7.44,-0.54,6.55
382,7.32,-0.53,6.48
386,7.36,-0.43,6.32
391,7.45,-0.46,6.34
396,7.30,-0.48,6.64
400,7.33,-0.52,6.47
404,7.39,-0.51,6.39
409,7.27,-0.65,6.17
414,7.39,-0.62,6.31
418,7.33,-0.62,6.59
423,7.44,-0.52,6.26
428,7.34,-0.38,6.47
433,7.33,-0.36,6.42
437,7.28,-0.37,6.44
442,7.32,-0.32,6.64
446,7.42,-0.38,6.67
450,7.31,-0.46,6.48
455,7.40,-0.45,6.60
460,7.39,-0.42,6.47
465,7.25,-0.29,6.47
469,7.29,-0.44,6.29
474,7.24,-0.42,6.41
479,7.36,-0.35,6.29
484,7.32,-0.36,6.53
487,7.23,-0.50,6.51
492,7.31,-0.39,6.24
497,7.36,-0.35,6.31
501,7.45,-0.38,6.22
506,7.37,-0.51,6.22
511,7.35,-0.45,6.30
515,7.39,-0.42,6.54
520,7.40,-0.47,6.20
525,7.35,-0.41,6.15
529,7.17,-0.44,6.24
533,7.02,-0.41,6.50
538,7.45,-0.44,6.29
543,7.21,-0.52,6.43
548,7.34,-0.54,6.42
552,7.28,-0.51,6.25
557,7.35,-0.48,6.03
562,7.17,-0.48,6.10
567,7.21,-0.50,6.05
570,7.24,-0.39,6.23
575,7.30,-0.40,6.17
580,7.18,-0.34,6.36
585,7.30,-0.26,6.62
589,7.34,-0.28,6.75
594,7.43,-0.45,6.53
