timestamp,accX,accY,accZ
0,6.34,2.26,7.29
91,6.23,2.17,7.35
95,6.21,2.20,7.40
99,6.43,2.15,6.94
104,6.43,2.11,7.11
109,6.38,2.23,6.93
113,6.34,2.24,6.94
118,6.36,2.10,7.12
123,6.24,1.98,7.09
128,6.38,2.14,6.81
132,6.31,2.35,6.94
137,6.22,2.32,7.02
141,6.09,2.37,6.94
145,6.11,2.39,7.19
150,6.01,2.51,7.07
155,6.09,2.52,6.85
160,5.92,2.57,6.84
164,6.16,2.54,7.20
169,6.24,2.40,6.91
174,6.31,2.53,7.01
178,6.09,2.51,7.01
182,6.02,2.43,7.00
187,6.19,2.39,7.25
192,6.36,2.43,7.37
196,6.22,2.41,7.40
201,6.20,2.47,7.40
206,6.22,2.40,7.35
210,6.29,2.34,7.24
215,6.27,2.39,7.55
220,6.26,2.43,7.26
224,6.11,2.43,7.32
228,6.11,2.45,7.40
233,5.97,2.39,7.17
238,6.00,2.48,7.19
243,6.12,2.49,6.99
247,6.12,2.45,7.09
252,5.98,2.42,7.05
257,6.06,2.38,7.19
262,6.16,2.33,6.87
265,5.84,2.16,7.05
270,6.02,2.23,7.19
275,6.32,2.25,7.09
280,6.20,2.34,7.39
284,6.28,2.45,7.38
289,6.26,2.41,7.37
294,6.26,2.34,7.25
299,6.18,2.33,7.02
303,6.25,2.42,7.27
307,6.18,2.26,7.39
312,6.30,2.25,7.39
316,6.46,2.18,7.39
321,6.38,2.24,7.36
326,6.40,2.19,7.17
331,6.11,2.13,7.33
335,6.17,2.26,7.15
340,6.10,2.20,7.25
345,6.12,2.33,7.18
348,6.23,2.32,7.17
353,6.27,2.34,6.91
358,5.96,2.39,7.11
363,6.01,2.33,7.03
367,6.05,2.37,6.83
372,5.97,2.50,6.96
377,5.97,2.46,6.99
382,5.95,2.45,6.85
386,5.98,2.27,6.71
390,5.89,2.42,6.72
395,6.22,2.26,6.73
399,6.16,2.18,6.74
404,6.12,2.29,6.93
409,5.93,2.20,7.19
414,6.08,2.21,7.17
418,6.14,2.37,7.14
423,6.12,2.31,7.31
428,6.30,2.18,7.54
432,6.31,2.17,7.48
436,6.42,2.13,7.35
441,6.39,2.19,7.84
446,6.48,2.15,7.54
450,6.37,2.19,7.68
455,6.35,2.27,7.34
460,6.32,2.45,7.50
465,6.31,2.40,7.53
469,6.28,2.41,7.44
473,6.36,2.30,7.50
478,6.28,2.34,7.32
483,6.29,2.28,7.09
487,6.26,2.31,7.29
492,6.28,2.27,7.23
497,6.20,2.21,7.59
501,6.45,2.27,7.18
506,6.27,2.26,7.32
511,6.26,2.28,7.39
515,6.21,2.33,7.24
519,6.13,2.32,6.92
524,6.26,2.39,7.17
529,6.32,2.38,7.02
534,6.26,2.39,7.17
538,6.08,2.41,6.91
543,6.11,2.49,6.88
548,6.14,2.45,7.12
552,6.22,2.43,6.85
556,6.07,2.51,7.24
561,5.95,2.43,7.32
566,5.93,2.26,7.16
570,6.07,2.07,6.99
575,6.24,2.05,7.06
580,6.23,2.12,7.18
585,6.24,2.05,7.68
589,6.15,1.99,7.18
594,6.26,2.06,7.39
598,6.13,2.00,7.01
603,6.28,1.97,7.08
607,6.10,1.97,7.01
612,6.24,2.12,7.12
617,6.32,2.15,6.66
621,6.04,2.27,7.22
626,6.20,2.25,7.08
631,6.08,2.34,7.15
636,5.80,2.30,6.87
639,5.97,2.28,7.00
644,6.01,2.32,7.09
649,6.08,2.36,7.29
653,6.13,2.45,7.18
658,6.15,2.46,7.40
663,6.23,2.43,7.43
668,6.22,2.41,7.34
672,5.92,2.36,7.29
677,5.94,2.39,7.50
681,6.03,2.44,7.28
686,6.12,2.43,7.34
690,6.11,2.44,7.35
695,6.11,2.44,7.23
700,5.89,2.44,7.36
704,6.09,2.27,7.17
709,6.09,2.21,7.31
714,6.24,2.23,7.17
718,6.31,2.14,7.39
722,6.46,2.05,7.35
727,6.70,2.04,7.13
732,6.41,2.24,7.20
736,6.15,2.18,7.32
741,6.33,2.08,7.19
746,6.24,1.96,7.19
751,6.31,2.18,7.16
755,6.47,2.30,7.07
760,6.25,2.24,6.98
764,6.27,2.39,7.15
768,6.28,2.39,7.17
773,6.30,2.53,7.43
778,6.35,2.56,7.42
783,6.43,2.62,7.17
787,6.26,2.60,7.18
792,6.32,2.57,7.11
