timestamp,accX,accY,accZ
0,6.35,2.09,7.00
91,6.55,2.16,7.15
95,6.53,2.10,6.95
100,6.49,1.89,7.04
105,6.53,1.87,6.71
109,6.57,1.88,6.93
113,6.64,1.85,6.87
118,6.68,1.93,6.94
123,6.51,2.04,6.76
127,6.43,1.95,6.91
132,6.49,1.93,7.00
137,6.55,1.92,6.95
142,6.53,1.92,7.04
146,6.43,1.83,7.18
151,6.47,1.93,6.82
155,6.62,1.90,6.67
159,6.58,1.90,6.63
164,6.45,1.97,6.84
169,6.51,2.08,6.92
174,6.53,2.08,7.08
178,6.61,2.01,7.15
183,6.56,2.08,7.15
188,6.67,2.18,7.08
192,6.59,2.09,7.12
196,6.64,2.02,7.04
201,6.62,2.10,6.90
206,6.71,2.23,6.97
210,6.41,2.30,7.06
215,6.36,2.31,7.12
220,6.44,2.24,6.98
224,6.24,2.30,6.97
229,6.33,2.16,7.26
234,6.62,2.14,7.30
238,6.35,2.15,7.00
242,6.47,2.16,6.87
247,6.43,2.09,7.08
252,6.42,2.08,6.97
257,6.42,2.10,6.90
261,6.44,2.12,7.11
266,6.26,2.14,6.72
271,6.20,2.18,6.92
276,6.16,2.09,7.17
279,6.47,2.16,6.89
284,6.40,2.08,7.18
289,6.45,2.04,7.17
294,6.51,2.14,6.97
298,6.34,2.17,6.97
303,6.40,2.12,6.78
308,6.37,2.06,6.89
313,6.41,2.16,7.05
317,6.38,2.29,6.95
321,6.49,2.10,7.16
326,6.45,2.21,6.86
330,6.40,2.11,7.11
335,6.37,2.03,7.09
340,6.45,2.05,7.34
345,6.59,2.08,7.09
349,6.50,2.14,7.06
354,6.47,2.09,6.94
359,6.57,2.12,6.88
362,6.59,2.12,6.81
367,6.42,1.98,7.21
372,6.54,2.00,7.24
377,6.50,2.18,7.50
381,6.50,2.08,7.28
386,6.92,2.11,6.83
391,6.70,1.96,6.85
395,6.56,2.05,7.06
400,6.52,1.87,6.87
404,6.58,1.86,6.77
409,6.39,1.91,7.00
413,6.39,2.03,6.69
418,6.30,2.18,7.10
423,6.52,2.17,6.69
427,6.49,2.32,7.08
432,6.45,2.32,7.11
437,6.31,2.22,6.94
442,6.44,2.15,6.86
446,6.46,2.14,6.74
450,6.28,2.01,6.83
455,6.27,1.93,7.15
460,6.51,1.86,7.17
464,6.48,1.92,6.90
469,6.48,2.14,6.87
474,6.48,1.95,6.81
478,6.51,1.97,7.12
483,6.49,2.04,7.00
487,6.42,1.91,6.88
492,6.49,1.87,6.94
496,6.57,2.04,6.79
501,6.56,2.19,6.87
506,6.50,2.15,6.72
510,6.62,2.16,6.55
515,6.50,2.11,7.24
520,6.49,2.17,7.33
525,6.53,2.20,7.00
529,6.81,2.10,7.14
533,6.64,1.97,7.34
538,6.64,1.80,7.39
543,6.54,1.71,6.97
547,6.73,1.73,7.05
552,6.65,1.83,7.00
557,6.64,1.84,6.80
561,6.72,1.85,7.04
566,6.55,1.79,6.97
571,6.73,1.93,6.94
575,6.69,2.03,6.91
579,6.47,2.20,6.96
584,6.49,2.03,6.81
589,6.70,2.15,6.74
594,6.47,2.06,6.86
598,6.45,1.89,7.13
603,6.49,1.96,7.08
608,6.45,1.95,6.82
612,6.44,1.78,6.76
616,6.57,1.97,6.94
621,6.53,1.92,6.99
626,6.53,1.93,6.75
630,6.36,1.93,7.12
635,6.37,1.88,6.73
640,6.45,1.96,6.73
645,6.25,1.93,6.87
649,6.35,2.03,7.22
654,6.55,2.08,7.09
658,6.35,2.08,6.94
662,6.39,2.16,7.06
667,6.28,2.04,7.29
672,6.63,2.09,7.10
677,6.54,2.11,6.93
681,6.56,2.15,6.73
686,6.51,1.98,6.99
691,6.53,1.93,6.89
695,6.46,2.08,7.16
699,6.45,2.08,7.29
704,6.45,2.05,7.07
708,6.43,2.09,7.21
713,6.39,2.13,6.90
718,6.28,1.97,6.89
723,6.38,1.96,7.34
728,6.68,2.07,6.98
732,6.56,2.17,7.08
