timestamp,accX,accY,accZ
0,6.37,1.98,7.18
91,6.44,2.01,6.85
94,6.25,1.97,7.16
99,6.38,2.06,6.96
104,6.40,2.01,6.98
109,6.38,2.06,7.47
113,6.43,2.00,7.29
118,6.55,1.92,7.33
123,6.34,1.91,7.41
127,6.35,1.84,7.26
132,6.44,1.93,7.43
136,6.36,1.94,7.21
141,6.36,1.98,7.39
145,6.39,1.97,7.32
150,6.26,2.00,7.25
155,6.03,2.03,7.17
159,6.26,2.14,7.17
164,6.39,2.06,7.27
169,6.29,2.05,7.01
174,6.21,2.15,7.18
177,6.32,2.25,7.31
182,6.33,2.26,7.10
187,6.17,2.25,7.02
192,6.20,2.07,7.20
196,6.24,1.97,7.00
201,6.13,2.08,7.16
206,6.26,2.09,7.18
211,6.26,1.92,7.14
215,6.25,1.87,6.72
219,6.34,1.98,7.12
224,6.39,1.88,7.22
228,6.39,1.80,7.47
233,6.43,1.88,7.15
238,6.61,1.96,7.13
243,6.65,1.91,7.19
247,6.32,1.81,7.55
252,6.61,1.88,7.30
257,6.59,1.91,7.10
261,6.60,1.97,6.85
265,6.62,1.89,6.68
270,6.46,1.99,6.77
275,6.43,2.04,7.07
279,6.34,2.02,7.17
284,6.41,1.91,6.95
289,6.28,1.78,7.23
294,6.45,1.66,6.78
298,6.48,1.62,7.34
302,6.62,1.78,7.22
307,6.60,1.81,7.40
311,6.55,1.72,7.34
316,6.58,1.82,7.08
321,6.59,1.81,7.33
326,6.48,1.75,7.29
330,6.52,1.65,7.11
335,6.51,1.81,7.19
340,6.60,1.82,7.23
344,6.41,1.76,7.01
348,6.55,1.74,7.27
353,6.65,1.87,6.82
358,6.43,1.87,6.83
362,6.39,2.00,7.26
367,6.49,1.95,7.34
372,6.33,1.93,7.12
377,6.36,2.03,7.17
381,6.36,1.97,7.31
385,6.50,1.78,7.41
390,6.52,1.88,7.52
394,6.43,1.81,7.25
399,6.23,1.92,7.47
404,6.21,1.90,7.35
409,6.49,1.84,7.17
413,6.39,1.94,6.90
418,6.36,2.00,7.08
423,6.31,2.03,7.22
427,6.21,2.07,7.32
431,6.10,2.06,7.19
436,6.26,2.04,7.05
441,6.35,1.93,7.20
446,6.28,2.02,7.28
450,6.13,1.99,7.33
455,6.35,2.04,7.17
460,6.33,1.90,7.21
465,6.31,1.92,7.17
468,6.37,1.89,7.11
473,6.46,1.75,7.04
478,6.59,1.73,7.22
482,6.42,1.83,7.24
487,6.47,1.71,7.39
492,6.44,1.80,7.27
497,6.34,1.69,6.94
501,6.45,1.66,7.19
506,6.40,1.55,6.94
510,6.38,1.57,7.00
515,6.38,1.75,7.32
519,6.24,1.76,7.36
524,6.33,1.77,7.28
529,6.34,1.92,7.25
533,6.42,1.90,7.35
538,6.29,1.95,7.28
543,6.31,1.93,7.07
548,6.26,1.97,6.97
551,6.24,2.01,6.89
556,6.20,1.97,6.90
561,6.33,1.93,6.78
566,6.32,1.97,6.95
570,6.31,1.71,6.70
575,6.39,1.62,6.49
580,6.41,1.62,7.01
585,6.46,1.52,6.87
589,6.58,1.68,6.94
593,6.45,1.53,6.93
598,6.49,1.49,6.86
603,6.49,1.56,7.30
607,6.62,1.56,7.33
612,6.50,1.64,7.36
617,6.66,1.74,7.29
622,6.65,1.88,7.05
626,6.37,1.80,7.09
631,6.48,1.92,7.22
635,6.57,1.93,7.14
639,6.47,1.91,6.94
644,6.66,1.93,6.94
649,6.66,1.93,6.96
653,6.49,1.76,7.17
658,6.58,1.68,7.18
663,6.73,1.58,6.75
668,6.52,1.75,6.99
672,6.56,1.80,7.42
676,6.50,1.80,7.42
681,6.31,1.94,7.34
686,6.37,1.92,7.45
690,6.45,2.12,7.48
695,6.36,1.95,7.20
700,6.57,1.91,7.14
705,6.37,1.92,6.78
709,6.28,1.95,7.13
714,6.52,1.83,7.16
718,6.45,1.79,7.14
722,6.31,1.88,7.32
727,6.39,1.88,7.24
732,6.27,1.83,7.12
