timestamp,accX,accY,accZ
0,6.43,1.83,6.87
91,6.25,1.71,7.02
95,6.27,1.59,7.26
100,6.48,1.70,7.06
105,6.49,1.62,7.62
109,6.40,1.60,7.17
113,6.43,1.65,7.34
118,6.37,1.75,7.32
123,6.42,1.71,7.34
127,6.40,1.93,6.85
132,6.14,1.87,7.05
137,6.26,1.88,7.28
142,6.34,1.99,7.35
146,6.20,2.05,7.48
151,6.17,1.95,7.42
155,6.33,1.92,7.33
160,6.34,1.80,7.22
164,6.30,1.96,7.04
169,6.17,1.66,7.05
174,6.21,1.74,7.00
179,6.39,1.83,7.12
183,6.21,1.84,7.32
188,6.27,1.92,7.28
192,6.34,1.85,7.35
197,6.14,1.79,7.19
201,6.18,1.79,7.32
206,6.29,1.72,6.79
211,6.42,1.78,7.11
215,6.18,1.70,7.11
220,6.27,1.70,7.33
225,6.26,1.66,7.30
230,6.49,1.62,7.04
234,6.54,1.79,7.17
238,6.42,1.85,7.34
243,6.32,1.96,7.56
248,6.41,1.88,7.35
252,6.34,1.99,7.52
257,6.51,2.05,7.32
262,6.48,2.03,7.37
267,6.52,1.91,7.25
271,6.51,1.93,7.20
276,6.49,1.96,7.11
280,6.39,1.88,7.02
284,6.31,1.92,6.73
289,6.39,1.92,7.07
294,6.40,1.75,6.66
299,6.40,1.77,7.01
303,6.26,1.71,6.92
308,6.16,1.77,6.98
313,6.33,1.72,7.03
317,6.25,1.74,6.74
321,6.24,1.88,7.25
326,6.42,1.83,7.07
331,6.44,1.80,6.94
335,6.45,1.73,7.20
340,6.34,1.76,7.31
345,6.42,1.71,6.89
349,6.38,1.79,6.89
354,6.37,1.77,6.91
359,6.36,1.76,7.22
363,6.16,1.87,7.22
367,6.33,1.81,6.88
372,6.49,1.81,6.69
377,6.23,1.89,6.80
382,6.29,1.75,6.60
386,6.29,2.04,7.24
391,6.25,2.07,7.21
396,6.39,2.03,7.02
400,6.28,1.96,7.12
404,6.47,2.12,6.66
409,6.38,2.13,7.14
414,6.37,1.94,7.15
418,6.31,1.95,7.15
423,6.50,1.93,7.20
428,6.25,1.93,7.07
433,6.38,1.96,7.12
437,6.71,1.90,7.18
442,6.42,1.80,7.39
446,6.48,1.81,7.07
450,6.55,1.86,7.02
455,6.53,1.87,7.21
460,6.32,1.92,7.35
465,6.40,1.85,7.22
469,6.39,1.96,7.14
474,6.46,2.09,7.31
479,6.48,2.24,7.27
483,6.38,2.07,7.42
487,6.47,1.93,7.01
492,6.43,1.92,7.24
497,6.37,1.80,7.21
501,6.57,1.77,7.24
506,6.42,1.82,7.37
511,6.35,1.82,7.27
515,6.27,1.77,7.37
520,6.43,1.73,7.12
525,6.73,1.71,7.17
529,6.68,1.79,7.56
533,6.57,1.82,7.37
538,6.39,1.84,7.08
543,6.39,2.07,7.16
547,6.33,2.07,7.34
552,6.34,2.08,7.05
557,6.18,2.16,7.14
562,6.39,2.12,7.17
566,6.45,2.05,7.31
570,6.43,2.01,7.15
575,6.35,1.97,7.14
580,6.47,2.07,7.50
584,6.31,2.00,7.30
589,6.32,1.98,6.93
594,6.37,1.90,7.25
598,6.44,1.85,6.73
