timestamp,accX,accY,accZ
0,-0.06,-4.85,8.48
91,-0.10,-4.94,8.42
95,-0.02,-4.89,8.69
100,0.12,-4.99,8.58
105,0.02,-5.08,8.49
109,-0.01,-5.25,8.32
113,0.11,-5.22,8.61
118,0.06,-5.17,8.55
123,0.08,-5.35,8.68
127,0.02,-5.35,8.81
132,0.03,-5.36,9.00
137,0.17,-5.20,8.87
142,0.11,-5.08,8.89
146,0.06,-4.98,8.70
151,0.02,-4.87,8.66
155,-0.13,-4.77,8.69
159,-0.10,-4.67,8.60
164,-0.11,-4.67,8.80
169,-0.19,-4.73,8.65
174,-0.10,-4.75,8.34
178,-0.06,-4.83,8.52
183,-0.22,-4.90,8.50
188,-0.15,-5.05,8.31
193,-0.27,-4.92,8.21
196,-0.12,-5.09,8.09
201,-0.10,-5.00,8.14
206,-0.21,-4.99,8.10
210,-0.34,-4.98,8.17
215,-0.40,-4.95,8.19
220,-0.37,-4.98,8.05
225,-0.20,-4.98,8.34
229,-0.20,-5.06,8.07
234,-0.28,-5.04,8.06
238,-0.30,-4.91,8.14
242,-0.25,-4.89,8.24
247,-0.26,-4.93,8.31
252,-0.27,-4.84,8.45
257,-0.26,-4.87,8.41
262,0.03,-4.89,8.08
266,-0.07,-4.84,7.97
271,0.10,-4.77,8.03
276,-0.13,-4.91,8.42
280,0.01,-4.78,8.34
284,-0.17,-4.89,8.25
289,-0.02,-4.86,8.28
294,-0.01,-4.82,8.49
298,-0.05,-4.79,8.28
303,0.09,-4.79,8.29
308,0.06,-4.67,8.29
313,0.15,-4.73,8.48
317,-0.09,-4.83,8.33
321,0.05,-4.84,8.59
326,-0.06,-4.92,8.42
331,-0.12,-4.94,8.29
335,0.13,-5.04,8.42
340,0.17,-5.04,8.65
345,0.21,-5.15,8.26
350,0.01,-5.07,8.43
354,0.12,-5.20,8.60
359,0.07,-5.20,8.48
363,0.08,-5.16,8.39
367,0.06,-5.02,8.31
372,0.04,-4.85,8.21
377,-0.10,-4.80,8.31
382,-0.13,-4.87,8.32
386,-0.06,-4.75,8.29
391,-0.02,-4.72,8.31
396,0.03,-4.63,8.58
401,-0.16,-4.81,8.61
404,-0.08,-4.92,8.42
409,-0.06,-4.80,8.40
414,-0.14,-4.83,8.44
418,0.00,-4.89,8.42
423,-0.11,-5.00,8.41
428,-0.01,-4.94,8.44
432,0.01,-4.90,8.54
437,-0.03,-4.91,8.35
442,-0.02,-4.90,8.33
446,0.05,-4.94,8.26
450,0.00,-4.90,8.27
455,-0.17,-4.89,8.64
460,-0.13,-4.90,8.63
464,-0.11,-4.82,8.20
469,-0.11,-4.77,8.36
474,-0.11,-4.87,8.35
479,-0.02,-4.88,8.46
483,0.05,-4.92,8.49
487,-0.09,-5.07,8.40
492,-0.14,-4.97,8.29
496,-0.08,-4.95,8.32
501,-0.13,-4.99,8.48
506,0.02,-4.97,8.37
511,0.04,-4.94,8.47
515,0.05,-4.89,8.16
520,-0.11,-4.88,8.07
525,-0.04,-4.81,8.58
528,-0.01,-4.89,8.45
533,0.03,-4.85,8.19
538,0.02,-4.74,8.46
543,-0.05,-4.67,8.47
547,-0.19,-4.62,8.33
552,-0.07,-4.70,8.39
557,-0.14,-4.68,8.31
562,-0.12,-4.67,8.37
566,-0.09,-4.71,8.50
570,-0.31,-4.64,8.44
575,-0.15,-4.82,8.33
579,0.07,-4.79,8.22
584,-0.06,-4.95,8.20
589,-0.06,-4.93,8.16
594,-0.08,-4.93,8.27
598,0.07,-5.02,8.50
603,0.11,-5.05,8.45
608,0.01,-5.11,8.10
612,0.05,-5.04,8.08
616,0.01,-4.96,8.07
621,0.11,-4.81,8.45
626,0.07,-4.93,8.44
630,-0.04,-4.83,8.71
635,0.05,-4.86,8.74
640,0.09,-4.82,8.34
645,0.13,-4.80,8.51
649,0.12,-4.75,8.53
653,0.12,-4.78,8.54
658,0.11,-4.83,8.62
662,0.10,-4.87,8.56
667,0.19,-4.82,8.26
672,-0.06,-4.89,8.40
677,-0.01,-4.92,8.22
681,0.05,-4.92,8.54
686,0.05,-4.96,8.39
691,-0.04,-5.03,8.23
695,-0.01,-5.01,8.37
699,-0.10,-5.06,8.05
704,-0.13,-4.97,8.15
709,-0.17,-4.87,8.35
714,-0.13,-4.90,8.36
718,-0.08,-5.05,8.26
723,0.06,-4.81,8.28
728,-0.09,-4.74,8.22
733,-0.06,-4.86,8.16
736,-0.03,-4.81,8.26
741,-0.09,-4.79,7.99
746,-0.16,-4.67,8.26
750,-0.10,-4.72,8.20
755,-0.08,-4.51,8.39
760,-0.10,-4.50,8.39
765,-0.18,-4.63,8.09
769,-0.01,-4.53,8.06
774,-0.16,-4.66,8.31
778,-0.10,-4.70,8.31
782,0.10,-4.73,8.33
787,0.09,-4.79,8.22
792,-0.07,-4.78,8.37
797,0.12,-4.84,8.47
801,-0.11,-4.92,8.34
806,-0.13,-4.92,8.43
811,0.06,-4.89,8.38
815,-0.11,-4.84,8.49
820,-0.09,-4.81,8.65
824,-0.07,-4.75,8.66
828,-0.11,-4.88,8.46
833,-0.11,-4.80,8.59
838,-0.07,-4.87,8.22
843,0.04,-4.79,8.39
847,-0.21,-4.78,8.61
852,-0.01,-4.69,8.52
857,0.06,-4.66,8.53
861,0.07,-4.54,8.57
865,0.08,-4.52,8.36
870,-0.10,-4.47,8.65
875,-0.08,-4.44,8.40
879,0.02,-4.65,8.72
884,-0.06,-4.64,8.66
889,-0.13,-4.84,8.63
894,-0.06,-5.02,8.73
899,0.05,-4.92,8.66
903,0.09,-4.89,8.69
907,0.10,-4.89,8.74
912,0.03,-4.91,8.55
917,-0.05,-5.03,8.77
921,-0.15,-5.03,8.60
926,-0.15,-4.94,8.48
