timestamp,accX,accY,accZ
0,-0.02,-4.71,8.40
90,-0.02,-4.62,7.93
94,-0.15,-4.65,8.18
99,-0.11,-4.65,8.32
104,-0.05,-4.69,8.08
108,-0.01,-4.66,7.96
113,-0.08,-4.65,8.15
118,-0.13,-4.62,8.40
123,-0.04,-4.72,8.51
127,-0.11,-4.82,8.27
131,-0.09,-4.93,8.22
136,-0.14,-4.94,8.33
141,-0.07,-5.02,8.36
145,0.02,-4.98,8.50
150,0.06,-4.95,8.55
155,0.06,-4.99,8.58
160,0.25,-4.90,8.59
164,0.14,-4.96,8.81
169,0.17,-4.88,8.68
173,-0.02,-4.86,8.57
177,0.06,-4.86,8.63
182,0.14,-4.81,8.64
187,0.25,-4.91,8.57
192,0.07,-4.84,8.67
196,0.14,-4.81,8.46
201,0.00,-4.90,8.50
206,-0.03,-4.82,8.40
210,-0.15,-4.71,8.45
214,-0.11,-4.73,8.21
219,-0.14,-4.68,8.32
224,-0.14,-4.54,8.27
228,-0.16,-4.77,8.10
233,-0.11,-4.86,8.32
238,0.01,-4.85,8.31
243,0.10,-4.89,8.26
247,0.01,-4.97,8.54
252,-0.06,-4.93,8.50
256,0.04,-5.03,8.31
260,0.10,-5.02,8.32
265,-0.03,-5.06,8.24
270,0.00,-4.96,8.09
275,0.00,-4.93,8.40
279,0.10,-4.90,8.35
284,0.23,-4.91,8.23
289,0.13,-4.86,8.05
293,0.08,-4.84,8.37
297,0.15,-4.86,8.29
302,0.10,-4.84,8.25
307,0.15,-4.81,8.42
311,-0.03,-4.76,8.50
316,0.20,-4.86,8.49
321,0.10,-4.93,8.26
326,0.04,-4.89,8.35
330,0.17,-4.89,8.40
335,0.07,-4.86,8.11
339,0.08,-4.80,8.31
343,0.20,-4.77,8.09
348,0.13,-4.89,8.15
353,0.08,-4.87,8.36
358,0.15,-4.90,8.27
362,0.10,-4.90,8.31
367,0.00,-4.96,8.54
372,-0.06,-4.89,8.44
376,0.20,-4.83,8.63
380,0.09,-4.91,8.42
385,0.07,-4.89,8.16
390,0.06,-4.88,8.31
394,-0.01,-4.87,8.46
399,-0.07,-5.05,8.27
404,0.03,-4.98,8.13
408,-0.06,-4.92,8.35
413,0.13,-4.96,8.19
418,0.02,-4.88,8.09
422,0.02,-4.90,8.46
426,0.02,-4.92,8.37
431,-0.01,-4.96,8.22
436,0.03,-5.02,8.26
441,-0.09,-5.00,8.23
445,-0.02,-5.01,8.63
450,-0.13,-4.91,8.78
455,-0.02,-4.89,8.51
459,0.10,-4.84,8.40
464,0.09,-4.86,8.23
468,0.08,-4.86,8.26
473,-0.05,-4.82,8.52
477,-0.01,-4.69,8.76
482,0.18,-4.82,8.40
487,0.04,-4.73,8.27
491,0.03,-4.70,8.16
496,-0.10,-4.72,8.24
501,-0.09,-4.77,8.38
505,0.00,-4.98,8.59
509,0.04,-4.90,8.31
514,0.08,-4.96,8.55
519,0.17,-4.98,8.54
523,0.11,-4.95,8.37
528,0.00,-4.88,8.54
533,-0.11,-4.92,8.55
538,0.00,-4.89,8.28
542,-0.06,-4.73,8.61
547,0.05,-4.68,8.22
551,0.06,-4.73,8.19
555,0.23,-4.69,8.24
560,0.15,-4.83,8.62
565,0.14,-4.84,8.26
570,0.18,-4.89,8.08
574,0.12,-4.79,8.37
579,0.04,-4.81,8.82
584,0.12,-4.86,8.50
589,0.06,-4.96,8.53
592,0.19,-4.93,8.36
597,-0.01,-4.95,8.32
602,0.10,-4.90,8.59
606,0.03,-4.93,8.25
611,-0.05,-4.87,8.38
616,0.03,-4.98,8.18
621,0.00,-5.08,8.47
625,0.05,-4.99,8.31
630,0.10,-4.94,8.37
634,0.04,-4.93,8.36
639,0.03,-4.87,8.31
643,0.10,-4.81,8.40
648,0.23,-4.69,8.31
653,0.11,-4.75,8.34
657,0.11,-4.77,8.42
662,0.09,-4.84,8.50
667,0.03,-4.78,8.63
672,0.08,-4.77,8.31
675,0.15,-4.74,8.40
680,0.08,-4.75,8.62
685,0.11,-4.83,8.44
690,0.03,-4.87,8.58
694,0.08,-4.84,8.22
699,0.12,-4.87,8.44
704,0.16,-4.89,8.43
708,0.02,-4.85,8.47
713,0.02,-4.89,8.19
717,-0.09,-4.81,8.50
722,0.01,-4.86,8.44
726,-0.05,-4.87,8.38
731,0.21,-4.89,8.56
736,0.33,-4.98,8.51
741,0.27,-5.01,8.34
745,0.20,-4.96,8.11
750,0.13,-5.04,8.28
755,-0.05,-5.01,8.59
758,0.16,-4.98,8.50
763,0.20,-5.12,8.38
768,0.39,-5.05,8.39
773,0.21,-5.09,8.41
777,0.19,-5.03,8.75
782,0.37,-4.99,8.36
787,0.25,-4.87,8.51
792,0.24,-4.83,8.38
796,0.09,-4.80,8.73
800,0.17,-4.81,8.54
805,0.24,-4.67,8.65
810,0.21,-4.59,8.35
814,0.21,-4.49,8.53
819,0.05,-4.54,8.47
824,0.10,-4.63,8.45
