timestamp,accX,accY,accZ
0,0.35,-4.96,8.07
91,0.05,-5.03,8.31
94,0.29,-5.01,8.42
99,0.20,-4.88,8.20
104,0.39,-4.84,8.44
108,0.35,-5.01,8.48
113,0.51,-4.91,8.49
118,0.39,-4.98,8.32
122,0.32,-4.93,8.49
127,0.29,-4.86,8.58
132,0.22,-4.88,8.35
136,0.20,-4.86,8.12
140,0.12,-4.87,8.11
145,-0.14,-4.89,8.38
150,0.08,-4.78,8.49
154,0.05,-4.70,8.36
159,0.14,-4.57,8.25
164,0.12,-4.56,8.22
169,0.22,-4.58,8.54
174,0.11,-4.78,8.27
178,0.29,-4.68,8.49
182,0.26,-4.74,8.45
187,0.23,-4.70,8.28
192,0.23,-4.89,8.23
196,0.21,-4.91,8.24
201,0.11,-4.93,8.35
206,0.12,-5.15,8.06
210,0.23,-5.00,8.44
215,0.34,-5.05,8.08
219,0.38,-5.07,8.09
224,0.27,-5.05,8.06
228,0.27,-4.93,8.45
233,0.36,-4.86,8.42
238,0.31,-4.86,8.18
242,0.26,-4.86,8.23
247,0.20,-4.80,8.46
252,0.21,-4.85,8.61
257,0.16,-4.84,8.54
261,0.18,-4.85,8.49
265,0.22,-4.95,8.52
270,0.19,-4.83,8.54
274,0.26,-4.71,8.46
279,0.20,-4.83,8.48
284,0.21,-4.89,8.62
289,0.32,-4.89,8.66
293,0.44,-4.89,8.62
298,0.35,-4.96,8.50
303,0.28,-5.06,8.67
306,0.30,-4.99,8.47
311,0.05,-5.03,8.46
316,0.44,-4.99,8.37
321,0.32,-5.07,8.47
325,0.11,-4.94,8.34
330,0.11,-5.00,8.52
335,0.11,-4.90,8.34
340,0.20,-4.87,8.53
344,0.12,-4.72,8.58
348,0.16,-4.71,8.82
353,0.36,-4.70,8.62
358,0.09,-4.79,8.49
362,0.25,-4.77,8.58
367,0.13,-4.88,8.41
372,0.23,-4.88,8.58
376,0.16,-4.80,8.48
381,0.11,-4.91,8.30
386,0.15,-4.87,8.53
390,0.10,-4.90,8.36
394,0.04,-4.94,8.56
399,0.18,-4.89,8.31
404,0.37,-4.91,8.29
409,0.16,-4.97,8.32
413,0.11,-5.05,8.41
418,0.40,-5.07,8.34
423,0.18,-4.93,8.26
428,0.06,-4.92,8.54
431,0.32,-4.94,8.41
436,0.25,-4.90,8.37
441,0.19,-4.77,8.43
446,0.20,-4.81,8.35
450,0.11,-4.81,8.33
455,0.15,-4.88,8.24
460,0.32,-4.85,7.96
465,0.23,-4.88,8.49
469,0.14,-4.88,8.36
473,0.25,-4.89,8.29
478,0.24,-4.91,8.52
483,0.20,-4.86,8.69
487,0.25,-4.85,8.64
492,0.35,-4.78,8.15
497,0.33,-4.76,8.32
502,0.30,-4.74,8.21
506,0.22,-4.85,8.48
511,0.22,-4.86,8.38
515,0.28,-4.89,8.52
519,0.28,-4.85,8.31
524,0.28,-4.98,8.14
529,0.08,-4.96,8.31
534,0.18,-4.89,8.15
538,0.18,-4.87,8.11
543,0.00,-5.06,8.33
548,0.11,-4.93,8.36
553,0.16,-4.90,8.09
556,0.11,-4.76,8.26
561,0.28,-4.82,8.22
566,0.25,-4.72,8.43
570,0.29,-4.81,8.35
575,0.21,-4.73,8.34
580,0.12,-4.62,8.08
585,0.13,-4.71,8.48
589,0.22,-4.75,8.07
594,0.33,-4.77,8.17
598,0.42,-4.82,8.01
603,0.25,-4.66,7.93
607,0.28,-4.89,8.06
612,0.29,-4.93,8.24
617,0.18,-4.99,7.99
622,0.21,-4.89,7.99
626,0.09,-4.88,8.13
631,0.08,-4.78,8.22
636,0.12,-4.83,8.20
639,0.09,-4.87,8.32
644,0.11,-4.93,8.35
649,0.01,-4.80,8.52
654,0.10,-4.90,8.27
658,0.14,-4.79,8.23
663,0.06,-4.75,8.38
668,0.03,-4.77,8.35
672,0.17,-4.79,8.39
677,0.09,-4.71,8.42
681,0.08,-4.70,8.37
686,0.21,-4.69,8.31
690,0.13,-4.57,8.16
695,0.07,-4.72,8.36
700,0.10,-4.70,8.45
705,0.22,-4.75,8.41
709,0.28,-4.83,8.43
714,0.30,-4.87,8.62
719,0.39,-4.92,8.55
722,0.21,-4.92,8.75
727,0.30,-4.98,8.54
732,0.33,-5.08,8.24
737,0.28,-5.01,8.56
741,0.24,-5.04,8.25
746,0.30,-5.02,8.26
751,0.34,-5.00,8.46
756,0.33,-4.95,8.56
760,0.27,-4.92,8.56
764,0.35,-4.80,8.40
769,0.24,-4.78,8.19
774,0.04,-4.83,7.98
778,0.03,-4.69,7.98
783,0.11,-4.75,8.41
788,0.14,-4.67,8.54
793,0.21,-4.65,8.27
797,0.07,-4.67,8.46
802,0.12,-4.58,8.54
806,0.33,-4.59,8.45
810,0.08,-4.67,8.49
815,0.16,-4.67,8.44
820,0.27,-4.77,8.60
825,0.26,-4.63,8.45
829,0.32,-4.81,8.43
834,0.21,-4.75,8.48
839,0.21,-4.76,8.75
844,0.32,-4.95,8.46
847,0.38,-4.90,8.57
852,0.45,-5.03,8.71
857,0.38,-5.00,8.56
861,0.45,-4.89,8.41
866,0.36,-4.98,8.39
871,0.24,-4.93,8.43
876,0.25,-4.80,8.57
880,0.34,-4.85,8.33
885,0.45,-4.85,8.33
889,0.42,-4.73,8.61
893,0.24,-4.90,8.31
898,0.11,-4.84,8.53
903,0.29,-4.88,8.30
907,0.29,-4.77,8.33
912,0.29,-4.78,8.22
917,0.21,-4.90,8.33
922,0.38,-4.85,8.59
926,0.36,-4.90,8.54
930,0.35,-4.97,8.41
935,0.20,-5.01,8.48
940,0.31,-4.98,8.35
944,0.32,-4.92,8.42
949,0.39,-4.90,8.40
954,0.31,-4.98,8.63
958,0.34,-5.01,8.34
963,0.42,-4.96,8.19
968,0.23,-4.91,8.39
972,0.32,-4.91,8.53
976,0.25,-4.80,8.42
981,0.16,-4.88,8.30
986,0.27,-4.99,8.39
991,0.16,-4.85,8.53
995,0.31,-4.81,8.35
1000,0.24,-4.76,8.48
1005,0.15,-4.84,8.51
1009,0.16,-4.81,8.33
1013,0.29,-4.75,8.53
1018,0.33,-4.77,8.28
1023,0.28,-4.72,8.26
1028,0.11,-4.56,8.56
1032,0.24,-4.69,8.44
1037,0.32,-4.63,8.33
1042,0.31,-4.69,8.35
1046,0.16,-4.71,8.51
1051,0.24,-4.87,8.46
1055,0.34,-4.92,8.41
1060,0.31,-4.89,8.30
1064,0.17,-5.05,8.44
1069,0.31,-5.03,8.27
1074,0.39,-5.00,8.17
1079,0.17,-4.98,8.05
1083,0.06,-4.90,8.37
1088,0.28,-4.94,8.19
1093,0.27,-4.91,8.50
1096,0.34,-4.92,8.55
1101,0.27,-4.88,8.42
1106,0.23,-4.81,8.44
1111,0.23,-4.80,8.41
