timestamp,accX,accY,accZ
0,0.30,-4.66,8.45
91,0.36,-4.69,8.33
95,0.37,-4.78,8.52
100,0.28,-4.67,8.48
105,0.39,-4.62,8.65
110,0.21,-4.53,8.54
113,0.25,-4.66,8.71
118,0.18,-4.79,8.72
123,0.11,-4.95,8.45
128,0.18,-4.83,8.49
132,0.16,-4.88,8.49
137,0.29,-4.96,8.65
142,0.20,-4.92,8.57
146,0.23,-4.80,8.59
151,0.15,-4.84,8.48
155,0.21,-4.78,8.43
160,0.20,-4.82,8.61
164,0.27,-4.74,8.53
169,0.16,-4.73,8.42
174,0.16,-4.59,8.52
179,0.16,-4.65,8.38
183,0.27,-4.74,8.51
188,0.22,-4.66,8.43
193,0.21,-4.77,8.21
197,0.12,-4.75,8.34
202,0.31,-4.68,8.60
206,0.38,-4.70,8.50
211,0.32,-4.72,8.46
216,0.37,-4.79,8.54
220,0.39,-4.96,8.66
225,0.49,-5.03,8.45
230,0.46,-4.96,8.44
235,0.36,-4.79,8.35
238,0.24,-4.90,8.41
243,0.32,-4.87,8.29
248,0.34,-4.85,8.28
252,0.40,-4.86,8.52
257,0.47,-4.79,8.31
262,0.43,-4.77,8.39
267,0.50,-4.77,8.15
271,0.41,-4.81,8.19
276,0.49,-4.85,8.19
280,0.54,-4.78,8.10
284,0.42,-4.78,8.47
289,0.43,-4.78,8.20
294,0.42,-4.85,8.54
299,0.39,-4.89,8.65
303,0.43,-4.70,8.54
308,0.23,-4.78,8.31
313,0.20,-4.74,8.53
318,0.30,-4.83,8.22
321,0.24,-4.81,8.35
326,0.39,-4.74,8.40
331,0.37,-4.75,8.22
336,0.26,-4.79,8.35
340,0.36,-4.79,8.12
345,0.30,-4.86,7.93
350,0.29,-4.83,8.04
354,0.30,-4.79,8.49
359,0.25,-4.83,8.28
363,0.32,-4.83,8.38
368,0.37,-4.89,8.20
372,0.24,-4.73,8.55
377,0.25,-4.66,8.41
382,0.25,-4.55,8.40
386,0.36,-4.54,8.68
391,0.18,-4.58,8.38
396,0.10,-4.66,8.58
401,0.09,-4.75,8.29
404,0.22,-4.74,8.29
409,0.41,-4.68,8.59
414,0.43,-4.74,8.75
418,0.37,-4.84,8.87
423,0.43,-4.84,8.74
428,0.33,-4.81,8.48
433,0.33,-4.89,8.74
437,0.31,-4.87,8.53
442,0.31,-4.81,8.62
446,0.28,-4.88,8.61
450,0.38,-4.84,8.41
455,0.31,-4.69,8.51
460,0.27,-4.67,8.64
465,0.32,-4.59,8.24
469,0.24,-4.66,8.14
474,0.23,-4.61,8.38
479,0.32,-4.82,8.54
483,0.34,-4.76,8.41
487,0.36,-4.81,8.31
492,0.26,-4.89,8.48
497,0.22,-4.84,8.40
501,0.21,-4.90,8.72
506,0.28,-4.97,8.57
511,0.44,-4.92,8.61
516,0.41,-4.89,8.77
520,0.36,-4.89,8.66
525,0.34,-4.87,8.84
529,0.36,-5.03,8.57
533,0.43,-4.88,8.86
538,0.57,-4.80,9.15
543,0.45,-4.80,8.83
548,0.52,-4.52,8.70
552,0.33,-4.54,8.69
557,0.43,-4.67,8.70
562,0.42,-4.67,8.55
567,0.30,-4.68,8.58
570,0.30,-4.62,8.57
575,0.26,-4.76,8.49
580,0.30,-4.88,8.42
585,0.31,-4.83,8.56
589,0.36,-4.96,8.77
594,0.44,-5.00,8.84
599,0.51,-5.04,8.77
603,0.48,-5.00,8.48
608,0.40,-4.97,8.46
612,0.41,-4.89,8.45
617,0.21,-4.94,8.55
621,0.24,-4.94,8.44
626,0.31,-4.89,8.75
631,0.44,-4.86,8.33
636,0.27,-4.81,8.32
640,0.20,-4.80,8.50
645,0.08,-4.74,8.39
650,0.14,-4.67,8.21
654,0.16,-4.67,8.13
658,0.19,-4.54,8.30
663,0.18,-4.48,8.30
668,0.11,-4.56,8.31
673,0.10,-4.60,8.60
677,0.19,-4.67,8.39
682,0.23,-4.73,8.31
687,0.18,-4.74,8.10
692,0.20,-4.80,8.49
695,0.21,-4.89,8.55
700,0.45,-4.79,8.30
705,0.37,-4.86,8.50
709,0.36,-4.91,8.27
714,0.22,-4.82,8.14
719,0.12,-4.79,8.19
724,0.12,-4.89,8.52
728,0.14,-4.79,8.47
733,0.12,-4.69,8.11
737,0.19,-4.67,8.24
742,0.11,-4.64,8.15
746,0.15,-4.65,8.36
751,0.12,-4.59,8.08
756,0.08,-4.61,8.21
761,0.11,-4.58,8.44
765,0.19,-4.68,8.21
770,0.12,-4.81,8.34
775,0.18,-4.83,8.31
778,0.26,-4.83,8.19
783,0.31,-4.81,8.24
788,0.27,-4.81,8.26
793,0.20,-4.96,8.33
797,0.19,-4.98,8.33
802,0.28,-4.97,8.16
807,0.30,-4.90,8.29
811,0.41,-4.96,8.44
816,0.32,-4.96,8.53
820,0.39,-5.05,8.49
825,0.43,-4.95,8.16
829,0.45,-4.81,8.50
834,0.29,-4.88,8.79
839,0.48,-4.79,8.74
844,0.44,-4.78,8.54
848,0.37,-4.85,8.46
853,0.34,-4.94,8.33
858,0.33,-4.93,8.32
862,0.39,-4.85,8.54
866,0.30,-4.86,8.43
871,0.47,-4.94,8.29
876,0.36,-4.89,8.22
880,0.24,-4.92,8.43
885,0.39,-4.90,8.65
890,0.24,-4.92,8.39
895,0.38,-4.98,8.57
899,0.39,-4.96,8.50
903,0.46,-5.03,8.51
908,0.45,-5.09,8.66
913,0.48,-5.14,8.54
917,0.42,-5.02,8.48
922,0.48,-5.03,8.54
927,0.32,-5.06,8.68
931,0.35,-4.98,8.42
936,0.32,-5.10,8.39
941,0.41,-5.04,8.48
945,0.37,-4.99,8.35
949,0.28,-5.03,8.50
954,0.33,-4.98,8.38
959,0.47,-4.97,8.49
963,0.35,-4.95,8.64
968,0.33,-4.91,8.59
973,0.47,-4.86,8.54
978,0.34,-4.77,8.61
982,0.22,-4.88,8.57
987,0.33,-4.87,8.48
991,0.40,-4.84,8.73
996,0.37,-5.09,8.74
1000,0.33,-5.12,8.62
1005,0.31,-5.08,8.69
1010,0.43,-5.12,8.68
1014,0.41,-5.03,8.43
1019,0.18,-4.97,8.54
1024,0.29,-4.93,8.62
1028,0.38,-4.91,8.57
1032,0.33,-4.89,8.60
1037,0.25,-4.82,8.64
1042,0.25,-4.80,8.58
1046,0.28,-4.81,8.40
1051,0.34,-4.82,8.75
1056,0.26,-4.78,8.61
1061,0.19,-4.88,8.57
1065,0.22,-4.77,8.35
1070,0.15,-4.77,8.38
1074,0.08,-4.87,8.40
1079,0.18,-5.03,7.85
1083,0.17,-4.97,8.17
1088,0.15,-4.92,8.00
1093,0.09,-4.87,8.20
1098,0.15,-4.87,8.18
1102,0.09,-4.71,7.97
1107,0.13,-4.88,8.08
1112,0.01,-4.86,8.07
1115,-0.08,-4.90,8.25
1120,-0.08,-4.84,8.18
1125,-0.07,-4.89,8.36
1129,-0.05,-4.94,8.31
1134,-0.02,-4.87,8.32
