timestamp,accX,accY,accZ
0,-0.35,-3.54,8.74
91,-0.32,-3.54,8.96
95,-0.41,-3.52,8.59
100,-0.53,-3.43,9.13
105,-0.46,-3.50,9.30
110,-0.47,-3.53,9.03
114,-0.35,-3.44,8.68
118,-0.54,-3.29,8.83
123,-0.51,-3.31,8.97
127,-0.63,-3.28,8.95
132,-0.58,-3.32,9.02
137,-0.36,-3.28,8.99
142,-0.49,-3.24,8.94
146,-0.67,-3.32,9.16
151,-0.60,-3.22,9.28
156,-0.53,-3.38,8.94
160,-0.53,-3.17,8.94
164,-0.57,-3.17,8.82
169,-0.57,-3.35,9.22
174,-0.49,-3.34,8.92
179,-0.54,-3.34,8.82
183,-0.53,-3.43,9.06
188,-0.38,-3.43,8.93
193,-0.49,-3.23,8.80
198,-0.51,-3.29,8.97
201,-0.82,-3.30,8.95
206,-0.73,-3.25,8.79
211,-0.66,-3.36,8.99
215,-0.54,-3.24,9.31
220,-0.62,-3.22,9.07
225,-0.59,-3.18,8.88
230,-0.81,-3.13,8.89
234,-0.76,-3.17,9.11
239,-0.54,-3.20,9.22
243,-0.49,-3.26,8.99
248,-0.66,-3.15,9.05
252,-0.63,-3.08,9.49
257,-0.60,-3.08,9.26
262,-0.49,-3.14,9.22
267,-0.58,-3.16,8.96
271,-0.44,-2.89,9.11
276,-0.77,-3.02,9.19
281,-0.66,-3.04,9.22
284,-0.48,-3.07,9.03
289,-0.69,-3.07,8.93
294,-0.72,-3.11,8.99
299,-0.64,-2.92,9.13
303,-0.52,-3.09,9.14
308,-0.49,-3.19,9.11
313,-0.63,-3.13,9.06
318,-0.46,-3.24,9.37
322,-0.47,-3.48,9.12
326,-0.46,-3.36,9.04
331,-0.52,-3.42,8.89
336,-0.42,-3.33,9.16
340,-0.53,-3.29,9.07
345,-0.67,-3.32,9.24
350,-0.48,-3.22,9.05
355,-0.66,-3.22,9.08
359,-0.69,-3.18,9.33
364,-0.58,-3.23,9.32
368,-0.44,-3.16,9.13
373,-0.59,-3.05,9.15
377,-0.63,-3.07,9.22
382,-0.62,-3.21,8.97
387,-0.67,-3.07,8.99
392,-0.63,-3.15,9.08
396,-0.63,-3.15,8.85
401,-0.63,-3.14,8.85
406,-0.71,-3.23,8.83
410,-0.85,-3.25,8.77
414,-0.57,-3.12,8.91
419,-0.58,-3.09,8.99
424,-0.72,-3.13,9.08
428,-0.66,-3.05,9.10
433,-0.79,-3.19,8.89
438,-0.70,-3.12,8.83
442,-0.79,-3.12,8.79
447,-0.65,-3.12,8.69
451,-0.64,-3.19,9.13
455,-0.67,-3.23,8.96
460,-0.67,-3.28,8.91
465,-0.75,-3.38,9.22
470,-0.65,-3.22,8.97
474,-0.62,-3.14,9.18
479,-0.59,-3.24,9.13
484,-0.62,-3.21,9.00
489,-0.64,-3.30,8.79
492,-0.79,-3.17,8.87
497,-0.74,-3.30,9.07
502,-0.80,-3.28,9.29
506,-0.54,-3.32,9.10
511,-0.60,-3.30,9.07
516,-0.73,-3.24,9.02
521,-0.68,-3.23,9.11
525,-0.54,-3.33,8.91
530,-0.65,-3.29,9.02
534,-0.55,-3.36,9.07
539,-0.72,-3.30,9.56
543,-0.51,-3.31,9.48
548,-0.39,-3.32,9.01
553,-0.58,-3.37,9.32
557,-0.57,-3.35,9.41
562,-0.48,-3.30,9.59
567,-0.60,-3.36,9.37
572,-0.47,-3.36,8.96
575,-0.57,-3.36,9.13
580,-0.38,-3.30,8.99
585,-0.69,-3.27,9.22
589,-0.61,-3.33,9.45
594,-0.65,-3.42,9.42
599,-0.52,-3.34,8.99
604,-0.67,-3.29,9.50
608,-0.53,-3.32,9.26
613,-0.55,-3.33,8.89
617,-0.63,-3.35,9.18
622,-0.48,-3.41,9.04
626,-0.63,-3.30,9.15
631,-0.61,-3.33,9.46
636,-0.63,-3.33,9.16
641,-0.55,-3.33,9.05
645,-0.47,-3.30,9.02
650,-0.51,-3.28,9.11
655,-0.59,-3.32,8.95
659,-0.47,-3.29,9.03
663,-0.58,-3.33,9.41
