timestamp,accX,accY,accZ
0,-0.60,-3.43,8.94
91,-0.65,-3.36,9.06
95,-0.47,-3.39,8.87
99,-0.56,-3.43,9.01
104,-0.88,-3.45,8.89
109,-0.81,-3.44,9.06
113,-0.57,-3.52,8.69
118,-0.69,-3.54,8.92
123,-0.67,-3.63,9.01
128,-0.72,-3.55,9.10
132,-0.48,-3.58,9.04
137,-0.51,-3.47,9.25
141,-0.61,-3.38,8.93
146,-0.68,-3.53,8.92
150,-0.77,-3.54,8.88
155,-0.59,-3.25,8.98
160,-0.55,-3.23,9.41
164,-0.46,-3.49,8.99
169,-0.41,-3.49,9.08
174,-0.22,-3.45,8.99
178,-0.42,-3.50,9.15
182,-0.75,-3.51,8.98
187,-0.63,-3.49,8.88
192,-0.79,-3.44,9.24
196,-0.57,-3.49,9.07
201,-0.36,-3.44,8.98
206,-0.52,-3.53,9.02
211,-0.64,-3.55,8.73
215,-0.56,-3.41,9.08
220,-0.53,-3.37,9.12
224,-0.51,-3.48,8.99
229,-0.70,-3.47,8.81
233,-0.53,-3.46,8.64
238,-0.66,-3.40,9.03
243,-0.60,-3.40,9.07
247,-0.58,-3.38,8.82
252,-0.47,-3.34,8.94
257,-0.57,-3.30,8.90
262,-0.67,-3.27,8.87
265,-0.74,-3.35,8.99
270,-0.61,-3.37,8.90
275,-0.62,-3.41,8.75
279,-0.55,-3.46,8.79
284,-0.33,-3.54,8.89
289,-0.34,-3.49,8.99
294,-0.62,-3.33,9.22
298,-0.56,-3.43,9.34
303,-0.64,-3.41,9.35
307,-0.74,-3.52,9.25
312,-0.58,-3.39,9.06
316,-0.50,-3.30,9.22
321,-0.57,-3.25,9.32
326,-0.65,-3.32,9.37
330,-0.44,-3.34,9.04
335,-0.39,-3.30,9.23
340,-0.57,-3.40,9.34
345,-0.65,-3.32,9.05
348,-0.48,-3.40,9.03
353,-0.41,-3.37,8.90
358,-0.51,-3.30,9.22
363,-0.56,-3.32,9.45
367,-0.40,-3.27,9.15
372,-0.41,-3.22,9.09
377,-0.40,-3.20,8.89
382,-0.48,-3.35,9.28
386,-0.51,-3.40,9.18
390,-0.34,-3.37,9.12
395,-0.56,-3.46,9.01
400,-0.36,-3.37,8.99
404,-0.52,-3.39,9.16
409,-0.43,-3.53,8.91
414,-0.53,-3.35,9.22
418,-0.42,-3.40,8.82
423,-0.61,-3.18,9.15
