timestamp,accX,accY,accZ
0,-0.38,-3.47,8.94
91,-0.53,-3.54,9.22
95,-0.50,-3.55,9.07
100,-0.53,-3.41,8.95
105,-0.56,-3.34,9.15
110,-0.51,-3.34,9.18
113,-0.39,-3.55,9.11
118,-0.54,-3.53,8.92
123,-0.60,-3.37,9.06
128,-0.50,-3.52,8.99
132,-0.51,-3.47,8.98
137,-0.41,-3.45,9.24
142,-0.42,-3.42,8.97
146,-0.50,-3.48,9.12
151,-0.50,-3.56,9.04
155,-0.40,-3.55,8.97
160,-0.38,-3.47,9.14
164,-0.61,-3.41,9.06
169,-0.42,-3.49,9.33
174,-0.40,-3.56,9.06
178,-0.44,-3.43,8.78
183,-0.45,-3.42,9.12
188,-0.44,-3.48,9.11
193,-0.28,-3.55,8.72
196,-0.44,-3.53,8.84
201,-0.55,-3.42,9.23
206,-0.35,-3.52,8.98
210,-0.42,-3.37,9.12
215,-0.38,-3.36,9.24
220,-0.60,-3.32,9.16
225,-0.70,-3.32,9.08
229,-0.50,-3.33,8.97
234,-0.54,-3.24,8.98
238,-0.55,-3.31,9.04
243,-0.63,-3.29,9.26
247,-0.59,-3.35,8.99
252,-0.56,-3.27,8.80
257,-0.52,-3.23,9.17
261,-0.60,-3.30,8.87
266,-0.54,-3.42,9.09
271,-0.45,-3.45,8.83
276,-0.42,-3.51,8.93
280,-0.47,-3.40,9.09
284,-0.44,-3.43,8.99
289,-0.49,-3.43,8.96
293,-0.52,-3.56,8.87
298,-0.58,-3.53,9.01
303,-0.67,-3.65,9.13
308,-0.62,-3.61,8.74
312,-0.55,-3.53,8.76
317,-0.48,-3.39,9.19
321,-0.60,-3.49,9.13
326,-0.50,-3.56,9.25
330,-0.44,-3.41,9.19
335,-0.47,-3.49,9.00
340,-0.33,-3.35,9.05
344,-0.38,-3.48,8.97
349,-0.53,-3.42,8.99
354,-0.57,-3.50,9.15
359,-0.42,-3.60,8.82
363,-0.53,-3.49,9.06
367,-0.54,-3.53,8.96
372,-0.61,-3.62,8.86
377,-0.50,-3.53,8.75
381,-0.67,-3.49,8.87
386,-0.52,-3.46,9.07
391,-0.50,-3.51,8.99
395,-0.50,-3.52,8.96
400,-0.55,-3.52,9.22
405,-0.61,-3.63,9.32
408,-0.39,-3.53,9.27
413,-0.39,-3.49,9.06
418,-0.58,-3.45,9.22
423,-0.57,-3.49,9.12
427,-0.58,-3.59,8.90
432,-0.68,-3.62,8.76
437,-0.57,-3.50,8.53
441,-0.70,-3.64,8.83
446,-0.67,-3.58,8.96
450,-0.72,-3.50,8.98
455,-0.54,-3.37,8.69
459,-0.53,-3.38,8.70
464,-0.67,-3.49,9.10
469,-0.72,-3.37,9.39
474,-0.51,-3.52,9.09
478,-0.38,-3.50,8.78
483,-0.50,-3.41,8.76
488,-0.54,-3.43,9.19
492,-0.60,-3.54,8.80
496,-0.59,-3.56,9.08
501,-0.45,-3.42,8.83
506,-0.57,-3.47,9.06
510,-0.47,-3.48,9.00
515,-0.47,-3.53,9.32
520,-0.57,-3.44,9.24
525,-0.38,-3.79,9.07
529,-0.36,-3.51,8.93
533,-0.50,-3.50,8.98
538,-0.49,-3.39,9.03
543,-0.48,-3.44,9.09
547,-0.47,-3.51,9.15
552,-0.52,-3.57,8.99
557,-0.50,-3.63,9.09
561,-0.42,-3.52,8.95
566,-0.41,-3.42,9.08
571,-0.44,-3.54,8.89
575,-0.50,-3.56,9.19
580,-0.51,-3.80,9.40
584,-0.41,-3.67,8.96
589,-0.38,-3.55,9.16
594,-0.45,-3.60,8.93
598,-0.40,-3.53,8.95
603,-0.43,-3.54,9.38
608,-0.50,-3.55,9.08
613,-0.57,-3.62,8.99
616,-0.57,-3.46,9.20
621,-0.60,-3.32,9.10
626,-0.36,-3.50,9.06
631,-0.60,-3.55,8.86
635,-0.63,-3.51,8.87
640,-0.85,-3.53,9.08
645,-0.65,-3.53,8.89
650,-0.91,-3.59,8.87
654,-0.72,-3.66,8.94
658,-0.42,-3.53,9.32
663,-0.43,-3.53,8.99
667,-0.57,-3.55,8.96
672,-0.57,-3.46,9.23
677,-0.43,-3.55,9.22
682,-0.50,-3.47,9.07
686,-0.73,-3.53,8.91
691,-0.62,-3.47,9.03
696,-0.59,-3.48,8.88
