timestamp,accX,accY,accZ
0,-7.85,-0.88,4.85
91,-7.78,-0.86,4.65
95,-8.08,-0.86,4.58
100,-7.95,-0.89,4.38
105,-7.85,-1.05,4.61
110,-7.80,-0.97,4.43
114,-7.93,-0.96,4.44
119,-8.04,-1.01,4.75
124,-7.90,-1.10,4.80
128,-8.00,-1.07,4.72
132,-7.90,-1.02,4.77
137,-7.77,-1.07,4.44
142,-7.79,-0.95,4.18
146,-7.94,-0.88,4.27
151,-8.26,-0.98,4.67
156,-8.11,-0.99,4.55
161,-7.99,-1.09,4.21
165,-7.86,-1.02,4.11
169,-7.94,-1.02,4.23
174,-7.99,-1.04,4.39
178,-7.85,-1.14,4.21
183,-7.90,-1.10,4.30
188,-7.85,-1.01,4.36
193,-7.93,-0.92,4.49
197,-7.95,-0.94,4.50
202,-8.08,-1.07,4.57
207,-7.96,-1.00,4.60
211,-7.73,-0.99,4.44
215,-7.94,-0.92,4.82
220,-8.06,-0.89,4.45
225,-7.97,-0.79,4.67
230,-7.94,-0.72,4.81
234,-8.04,-0.71,4.86
239,-7.88,-0.78,4.92
244,-7.87,-0.68,4.69
248,-7.88,-0.58,5.11
252,-7.69,-0.59,5.00
257,-7.90,-0.53,4.87
262,-7.87,-0.60,4.92
266,-7.98,-0.79,5.12
271,-7.83,-0.89,4.72
276,-7.88,-0.80,4.78
281,-7.89,-0.85,4.71
285,-8.12,-0.84,4.92
290,-7.80,-0.71,5.08
294,-7.93,-0.74,4.96
299,-8.05,-0.74,4.94
303,-7.94,-0.80,5.04
308,-8.08,-0.89,5.09
313,-7.78,-0.92,4.91
318,-7.81,-0.86,4.92
322,-7.99,-0.92,4.82
327,-7.86,-0.76,4.87
332,-7.98,-0.84,5.00
335,-7.86,-0.94,4.87
340,-7.84,-0.87,4.66
345,-7.78,-0.94,4.95
350,-7.94,-0.76,4.97
354,-7.91,-0.94,5.03
359,-7.85,-0.88,4.77
364,-8.08,-0.83,4.69
369,-8.00,-0.96,4.61
373,-8.10,-0.82,4.69
377,-8.04,-0.75,4.95
382,-8.09,-0.80,5.00
386,-7.94,-0.75,4.94
391,-8.08,-0.79,4.92
396,-7.85,-0.74,4.93
401,-7.80,-0.76,5.11
405,-7.82,-0.73,4.90
410,-7.81,-0.82,4.90
415,-7.89,-0.95,4.79
419,-8.04,-0.85,4.85
423,-8.10,-0.97,5.10
428,-7.83,-0.90,4.76
433,-7.99,-1.01,4.63
438,-8.01,-0.99,4.86
442,-7.81,-0.94,4.70
447,-7.71,-0.91,4.63
452,-7.88,-1.02,4.63
456,-7.91,-1.03,5.10
460,-7.88,-1.10,4.74
465,-7.68,-1.16,4.95
470,-7.77,-1.19,5.17
474,-7.70,-1.28,4.84
479,-7.63,-1.29,4.70
484,-7.79,-1.14,4.54
488,-7.98,-1.16,4.71
493,-7.77,-1.27,4.58
498,-7.85,-1.16,4.84
502,-7.85,-1.06,4.90
506,-8.02,-1.09,4.89
511,-7.92,-1.12,4.96
516,-7.78,-1.22,4.74
521,-7.84,-1.08,4.92
525,-7.76,-1.13,4.87
530,-7.80,-1.10,4.29
535,-7.93,-0.98,4.61
539,-7.97,-1.04,4.99
543,-7.75,-1.13,4.91
548,-7.84,-1.11,4.86
552,-8.00,-1.00,4.84
557,-7.91,-0.88,4.82
562,-8.07,-0.89,4.92
567,-7.90,-1.01,4.93
571,-7.84,-0.99,4.52
576,-8.00,-1.03,4.85
581,-7.90,-1.19,4.62
585,-7.92,-1.16,4.90
589,-8.01,-1.06,5.13
594,-7.99,-1.03,5.01
599,-7.94,-1.06,4.88
604,-7.88,-1.00,5.07
608,-7.85,-0.98,4.83
613,-7.85,-0.87,4.81
618,-7.90,-0.82,4.43
622,-7.87,-0.83,4.49
626,-7.94,-0.88,4.80
631,-7.96,-0.89,4.85
636,-7.92,-0.69,4.61
640,-8.07,-0.82,4.81
645,-8.08,-0.83,4.86
650,-8.10,-0.90,4.63
655,-7.83,-0.84,4.54
659,-8.03,-0.98,4.67
664,-8.08,-1.05,4.75
668,-7.93,-1.10,4.78
673,-8.08,-1.05,4.51
677,-7.93,-1.07,4.74
682,-7.81,-1.13,4.54
687,-7.87,-1.13,4.69
691,-7.84,-1.10,4.55
696,-7.85,-1.19,4.89
701,-7.92,-1.16,4.66
706,-7.76,-1.11,4.82
709,-7.90,-1.11,4.80
714,-7.98,-1.20,4.77
719,-7.75,-1.30,4.70
724,-7.83,-1.21,4.65
728,-7.75,-1.35,5.02
733,-7.84,-1.35,5.01
738,-7.75,-1.23,4.82
742,-7.88,-1.25,4.78
747,-8.05,-1.16,4.99
